instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
13994,2012-08-11,3,1,8,6,0,6,0,1,0.6298412698412699,0.5758,0.83,0.09319844415635431,6,42,49
12186,2012-05-27,2,1,5,22,0,0,0,3,0.639375,0.5886414492160897,0.7904008173953178,0.21451662990491333,40,68,109
12092,2012-08-11,2,1,5,22,0,0,0,3,0.6197751655461222,0.5748971266573544,0.8309536465262937,0.0,9,50,67
6332,2011-09-26,4,0,9,9,0,1,1,2,0.6575757575757576,0.5907368576465576,0.8653517200551853,0.06128623783469281,36,256,292
12263,2012-05-31,2,1,5,3,0,4,1,1,0.9299999999999999,0.6061,0.69,0.03780327738459354,0,8,8
6329,2011-09-26,4,0,9,6,0,1,1,2,0.9299999999999999,0.547059431573717,0.9338035831507933,0.0,15,285,300
13993,2012-08-11,3,1,8,5,0,6,0,1,0.6486153846153847,0.5720262449172455,0.8664332184359881,0.11799141055532292,9,40,50
6328,2011-09-26,4,0,9,5,0,1,1,2,0.9299999999999999,0.5578655389761998,0.8908654080415898,0.016225676008774115,1,39,40
6330,2011-09-26,4,0,9,7,0,1,1,2,0.6298412698412699,0.5685437805381381,0.8852261714066699,0.10138772528939537,19,73,92
11922,2012-05-16,2,1,5,22,0,3,1,1,0.639375,0.592346897171675,0.7737921903525495,0.11162465537999698,27,120,148
14345,2012-08-25,3,1,8,21,0,6,0,2,0.9299999999999999,0.5758,0.83,0.2537,44,142,187
12529,2012-06-11,2,1,6,5,0,1,1,1,0.6298412698412699,0.5783734282115648,0.8214787145312422,0.1095786861393796,6,118,125
14339,2012-08-25,3,1,8,15,0,6,0,1,0.639375,0.5934220405713303,0.7950664393960413,0.3176382546320702,47,142,190
14344,2012-08-25,3,1,8,20,0,6,0,1,0.6298412698412699,0.5834568275711025,0.8046462663208525,0.3279276419870978,71,197,269
14345,2012-08-25,3,1,8,21,0,6,0,2,0.6298412698412699,0.5822810648591604,0.8085395203339056,0.2729285897808205,61,181,242
14352,2012-08-26,3,1,8,4,0,0,0,1,0.6298412698412699,0.563148661421609,0.8816767509352691,0.29098815580999454,8,31,39
11959,2012-05-18,2,1,5,11,0,5,1,1,0.9299999999999999,0.6212,0.4291672801494933,0.008077382549915076,108,231,340
6218,2011-09-21,3,0,9,15,0,3,1,2,0.9299999999999999,0.5568772703126379,0.8986963784029648,0.06165504242030162,34,209,244
14421,2012-08-29,3,1,8,1,0,3,1,1,0.6298412698412699,0.6027555447645965,0.6988011979879041,0.12774310749901147,1,11,12
